Timestamp,Incident_ID,Building_Level,Zone_ID,Zone_Name,Zone_X_Min,Zone_Y_Min,Zone_X_Max,Zone_Y_Max,Zone_Center_X,Zone_Center_Y,Adult_Count,Child_Count,Elderly_Count,Disabled_Count,Total_Occupancy_Raw,Fire_Alarm_Triggered,Smoke_Obscuration_Pct,Sprinkler_System_Status,Hazard_Level_Rating,Zone_Clearance_Status,Exit_Route_Passable,Evacuation_Priority_Score,Last_Manual_Sweep_Time,Event_Type,Details,PM2.5,VOC,Temperature,CO2,Humidity,Hazard_Level_Score,Hour,Minute,TimeInMinutes,Zone_Enc,Floor_Enc,Vulnerable_Count,Vulnerable_Ratio,Exit_Passable_Enc,Sprinkler_Enc,Temp_Trend,Smoke_Trend,VOC_Trend,Vulnerable_Weighted,PM25_Log,VOC_Log,Fire_Indicator_Binary,Env_Risk_Index,Smoke_Temp_Interaction,Predicted_Hazard_Score,Predicted_Evacuation_Priority_Score,DP_Total_Occupancy,DP_Adult_Count,DP_Child_Count,DP_Elderly_Count,DP_Disabled_Count,DP_Vulnerable_Count,DP_Heatmap_Value,Predicted_Hazard_Level,Predicted_Evacuation_Priority_Level
2026-04-01 08:00:00,MON-20260401,Level 1,Z1,Reception,6.0,12.0,34.0,44.0,20.0,28.0,5,1,1,0,7,0,3.2,Off,Low,Not Started,Yes,13.8,0,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 7 with no active emergency indicators.,8.32,95.77,21.8,583.43,47.57,0.0,8,0,480,1,1,2,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.39999999999999997,2.2321626286975,4.572337028892851,0,0.194644581222422,69.76,0.4,14.41,7,4,2,0,1,3,0.206,Low,Low
2026-04-01 08:05:00,MON-20260401,Level 1,Z1,Reception,6.0,12.0,34.0,44.0,20.0,28.0,7,0,1,0,8,0,3.52,Off,Low,Not Started,Yes,9.82,0,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 8 with no active emergency indicators.,9.14,105.12,22.11,563.68,47.48,0.0,8,5,485,1,1,1,0.125,1.0,0.0,0.3099999999999987,0.31999999999999984,9.350000000000009,0.1875,2.316487998163037,4.664570529269539,0,0.204870198557539,77.8272,0.36,9.77,10,7,0,1,0,1,0.294,Low,Low
2026-04-01 08:10:00,MON-20260401,Level 1,Z1,Reception,6.0,12.0,34.0,44.0,20.0,28.0,7,0,0,0,7,0,4.1,Off,Low,Not Started,Yes,4.0,0,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 7 with no active emergency indicators.,10.67,127.27,21.86,580.73,46.17,0.0,8,10,490,1,1,0,0.0,1.0,0.0,-0.25,0.5799999999999996,22.14999999999999,0.0,2.4570214462984645,4.854137417311759,0,0.21484195526433775,89.62599999999999,0.66,4.16,7,9,0,0,0,0,0.206,Low,Low
2026-04-01 08:15:00,MON-20260401,Level 1,Z1,Reception,6.0,12.0,34.0,44.0,20.0,28.0,5,2,0,0,7,0,4.33,Off,Low,Not Started,Yes,13.1,0,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 7 with no active emergency indicators.,11.27,137.55,21.32,612.78,45.45,0.0,8,15,495,1,1,2,0.2857142857142857,1.0,0.0,-0.5399999999999991,0.23000000000000043,10.280000000000015,0.37142857142857144,2.50715725872282,4.931231271308987,0,0.2138103710238821,92.3156,0.47,14.45,8,6,2,0,0,2,0.235,Low,Low
2026-04-01 08:20:00,MON-20260401,Level 1,Z1,Reception,6.0,12.0,34.0,44.0,20.0,28.0,4,0,2,0,6,0,5.73,Off,Low,Not Started,Yes,13.93,0,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 6 with no active emergency indicators.,14.91,132.69,21.3,638.35,46.01,0.0,8,20,500,1,1,2,0.3333333333333333,1.0,0.0,-0.019999999999999574,1.4000000000000004,-4.860000000000014,0.5,2.7669478423496954,4.895523686995031,0,0.23574395616819405,122.049,0.33,14.44,5,7,0,2,0,2,0.147,Low,Low
2026-04-01 08:25:00,MON-20260401,Level 1,Z1,Reception,6.0,12.0,34.0,44.0,20.0,28.0,7,1,0,0,8,0,5.06,Off,Low,Not Started,Yes,9.4,0,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 8 with no active emergency indicators.,13.16,133.3,22.86,650.53,43.78,0.61,8,25,505,1,1,1,0.125,1.0,0.0,1.5599999999999987,-0.6700000000000008,0.6100000000000136,0.1625,2.6504210882655737,4.900076103529192,0,0.24235450431100403,115.67159999999998,0.69,9.84,9,4,0,0,1,1,0.265,Low,Low
2026-04-01 08:30:00,MON-20260401,Level 1,Z1,Reception,6.0,12.0,34.0,44.0,20.0,28.0,6,0,0,0,6,0,5.08,Off,Low,Not Started,Yes,3.86,0,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 6 with no active emergency indicators.,13.21,110.19,22.65,610.25,43.74,0.96,8,30,510,1,1,0,0.0,1.0,0.0,-0.21000000000000085,0.020000000000000462,-23.110000000000014,0.0,2.6539459421090092,4.711240449715158,0,0.2404475023550762,115.062,0.5,3.9,7,6,0,0,0,0,0.206,Low,Low
2026-04-01 08:35:00,MON-20260401,Level 1,Z1,Reception,6.0,12.0,34.0,44.0,20.0,28.0,6,1,0,0,7,0,3.19,Off,Low,Not Started,Yes,8.93,0,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 7 with no active emergency indicators.,8.29,121.2,22.87,607.31,47.07,0.84,8,35,515,1,1,1,0.14285714285714285,1.0,0.0,0.22000000000000242,-1.8900000000000001,11.010000000000005,0.18571428571428572,2.2289385528257473,4.805659046737495,0,0.20390329881249938,72.95530000000001,0.53,9.54,9,6,1,0,0,1,0.265,Low,Low
2026-04-01 08:40:00,MON-20260401,Level 1,Z1,Reception,6.0,12.0,34.0,44.0,20.0,28.0,5,0,1,1,7,0,4.3,Off,Low,Not Started,Yes,16.53,0,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 7 with no active emergency indicators.,11.19,121.57,23.03,603.43,45.35,1.41,8,40,520,1,1,2,0.2857142857142857,1.0,0.0,0.16000000000000014,1.1099999999999999,0.36999999999999034,0.4857142857142857,2.5006159434931803,4.808682295353074,0,0.23035674071459178,99.029,0.69,16.48,7,4,1,1,3,5,0.206,Low,Low
2026-04-01 08:45:00,MON-20260401,Level 1,Z1,Reception,6.0,12.0,34.0,44.0,20.0,28.0,3,4,0,2,9,0,4.85,Off,Low,Not Started,Yes,37.08,0,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 9 with no active emergency indicators.,12.6,122.2,22.13,570.51,48.19,0.97,8,45,525,1,1,6,0.6666666666666666,1.0,0.0,-0.9000000000000021,0.5499999999999998,0.6300000000000097,1.0,2.6100697927420065,4.81380905109942,0,0.2310433780535224,107.33049999999999,0.43,38.43,9,2,6,0,2,8,0.265,Low,Moderate
