Timestamp,Incident_ID,Building_Level,Zone_ID,Zone_Name,Cluster_ID,Coord_X,Coord_Y,Cluster_Size,DP_Coord_X,DP_Coord_Y,DP_Cluster_Size
2026-04-01 08:00:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C1,15.07,22.02,2,17.72,22.18,2
2026-04-01 08:00:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C2,26.22,22.15,5,27.28,21.16,5
2026-04-01 08:00:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C1,44.46,22.4,5,44.45,22.62,4
2026-04-01 08:00:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C2,56.06,23.23,6,57.33,19.9,7
2026-04-01 08:00:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C3,48.2,34.35,5,48.56,35.53,4
2026-04-01 08:00:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C4,42.33,36.05,3,44.66,35.71,2
2026-04-01 08:00:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C1,73.78,23.2,2,73.83,18.82,2
2026-04-01 08:00:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C2,86.46,22.9,6,84.93,22.09,6
2026-04-01 08:00:00,MON-20260401,Level 1,Z4,Pantry,MON-20260401-Z4-C1,26.93,67.84,6,24.16,65.8,5
2026-04-01 08:00:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C1,45.42,66.41,1,46.77,61.83,1
2026-04-01 08:00:00,MON-20260401,Level 1,Z5,Corridor,MON-20260401-Z5-C2,56.38,67.45,8,57.26,68.58,7
2026-04-01 08:05:00,MON-20260401,Level 1,Z1,Reception,MON-20260401-Z1-C1,25.5,23.21,8,25.61,23.04,6
2026-04-01 08:05:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C1,55.16,24.15,2,53.82,21.38,1
2026-04-01 08:05:00,MON-20260401,Level 1,Z2,Workspace,MON-20260401-Z2-C2,48.62,35.8,19,51.05,34.4,19
2026-04-01 08:05:00,MON-20260401,Level 1,Z3,MeetingRoom,MON-20260401-Z3-C1,72.94,22.7,6,71.49,19.57,8
