"Timestamp,Incident_ID,Building_Level,Zone_ID,Zone_Name,Adult_Count,Child_Count,Elderly_Count,Disabled_Count,Total_Occupancy_Raw,Fire_Alarm_Triggered,Smoke_Obscuration_Pct,Sprinkler_System_Status,Hazard_Level_Rating,Zone_Clearance_Status,Exit_Route_Passable,Evacuation_Priority_Score,Last_Manual_Sweep_Time,Event_Type,Details,PM2.5,VOC,Temperature,CO2,Humidity,Hazard_Level_Score"
"2026-04-01 08:00:00,MON-20260401,Level 1,Z1,Reception,5,1,1,0,7,0,3.2,Off,Low,Not Started,Yes,13.8,,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 7 with no active emergency indicators.,8.32,95.77,21.8,583.43,47.57,0.0"
"2026-04-01 08:00:00,MON-20260401,Level 1,Z2,Workspace,15,0,2,2,19,0,2.97,Off,Low,Not Started,Yes,35.51,,Routine Monitoring,Z2 (Workspace) under normal monitoring. Occupancy at 19 with no active emergency indicators.,7.73,108.99,22.6,530.1,45.1,1.89"
"2026-04-01 08:00:00,MON-20260401,Level 1,Z3,MeetingRoom,6,0,2,0,8,0,4.21,Off,Low,Not Started,Yes,15.25,,Routine Monitoring,Z3 (MeetingRoom) under normal monitoring. Occupancy at 8 with no active emergency indicators.,10.95,133.99,22.36,533.71,46.02,0.39"
"2026-04-01 08:00:00,MON-20260401,Level 1,Z4,Pantry,3,0,0,1,4,0,3.41,Off,Low,Not Started,Yes,9.14,,Routine Monitoring,Z4 (Pantry) under normal monitoring. Occupancy at 4 with no active emergency indicators.,8.86,111.59,22.99,579.27,44.58,0.46"
"2026-04-01 08:00:00,MON-20260401,Level 1,Z5,Corridor,5,1,1,1,8,0,4.99,Off,Low,Not Started,Yes,21.59,,Routine Monitoring,Z5 (Corridor) under normal monitoring. Occupancy at 8 with no active emergency indicators.,12.97,117.72,24.31,533.31,44.37,1.26"
"2026-04-01 08:00:00,MON-20260401,Level 1,Z6,ExitArea,0,0,0,0,0,0,2.79,Off,Low,Not Started,Yes,0.0,,Routine Monitoring,Z6 (ExitArea) under normal monitoring. Occupancy at 0 with no active emergency indicators.,7.25,112.73,23.09,544.28,47.67,1.41"
"2026-04-01 08:05:00,MON-20260401,Level 1,Z1,Reception,5,0,2,0,7,0,3.08,Off,Low,Not Started,Yes,14.5,,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 7 with no active emergency indicators.,8.02,98.8,22.12,568.81,44.16,0.0"
"2026-04-01 08:05:00,MON-20260401,Level 1,Z2,Workspace,15,3,1,1,20,0,1.92,Off,Low,Not Started,Yes,37.26,,Routine Monitoring,Z2 (Workspace) under normal monitoring. Occupancy at 20 with no active emergency indicators.,4.98,97.76,22.59,545.65,43.41,0.62"
"2026-04-01 08:05:00,MON-20260401,Level 1,Z3,MeetingRoom,9,0,0,0,9,0,4.73,Off,Low,Not Started,Yes,5.26,,Routine Monitoring,Z3 (MeetingRoom) under normal monitoring. Occupancy at 9 with no active emergency indicators.,12.29,116.02,22.72,593.15,45.53,0.25"
"2026-04-01 08:05:00,MON-20260401,Level 1,Z4,Pantry,5,0,0,0,5,0,3.61,Off,Low,Not Started,Yes,3.13,,Routine Monitoring,Z4 (Pantry) under normal monitoring. Occupancy at 5 with no active emergency indicators.,9.38,111.22,22.73,542.24,45.06,0.61"
"2026-04-01 08:05:00,MON-20260401,Level 1,Z5,Corridor,10,0,1,0,11,0,4.57,Off,Low,Not Started,Yes,11.83,,Routine Monitoring,Z5 (Corridor) under normal monitoring. Occupancy at 11 with no active emergency indicators.,11.87,109.45,24.23,556.33,44.02,0.66"
"2026-04-01 08:05:00,MON-20260401,Level 1,Z6,ExitArea,2,0,0,0,2,0,2.2,Off,Low,Not Started,Yes,1.8,,Routine Monitoring,Z6 (ExitArea) under normal monitoring. Occupancy at 2 with no active emergency indicators.,5.72,103.51,23.29,589.24,48.86,1.47"
"2026-04-01 08:10:00,MON-20260401,Level 1,Z1,Reception,6,0,0,0,6,0,3.42,Off,Low,Not Started,Yes,3.43,,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 6 with no active emergency indicators.,8.9,116.86,22.22,624.91,45.64,0.0"
"2026-04-01 08:10:00,MON-20260401,Level 1,Z2,Workspace,10,3,4,2,19,0,3.28,Off,Low,Not Started,Yes,46.1,,Routine Monitoring,Z2 (Workspace) under normal monitoring. Occupancy at 19 with no active emergency indicators.,8.53,93.8,22.35,547.78,45.2,0.55"
"2026-04-01 08:10:00,MON-20260401,Level 1,Z3,MeetingRoom,5,0,1,3,9,0,5.27,Off,Low,Not Started,Yes,30.67,,Routine Monitoring,Z3 (MeetingRoom) under normal monitoring. Occupancy at 9 with no active emergency indicators.,13.71,125.4,22.47,552.4,46.55,0.72"
"2026-04-01 08:10:00,MON-20260401,Level 1,Z4,Pantry,4,1,1,0,6,0,3.28,Off,Low,Not Started,Yes,13.57,,Routine Monitoring,Z4 (Pantry) under normal monitoring. Occupancy at 6 with no active emergency indicators.,8.52,93.88,23.45,538.23,42.7,0.75"
"2026-04-01 08:10:00,MON-20260401,Level 1,Z5,Corridor,8,0,2,0,10,0,3.93,Off,Low,Not Started,Yes,16.52,,Routine Monitoring,Z5 (Corridor) under normal monitoring. Occupancy at 10 with no active emergency indicators.,10.23,105.99,23.99,531.64,48.11,0.69"
"2026-04-01 08:10:00,MON-20260401,Level 1,Z6,ExitArea,0,0,0,0,0,0,2.87,Off,Low,Not Started,Yes,0.0,,Routine Monitoring,Z6 (ExitArea) under normal monitoring. Occupancy at 0 with no active emergency indicators.,7.47,107.86,22.72,584.92,46.61,0.1"
"2026-04-01 08:15:00,MON-20260401,Level 1,Z1,Reception,6,1,0,2,9,0,3.42,Off,Low,Not Started,Yes,22.99,,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 9 with no active emergency indicators.,8.9,92.54,22.36,664.79,46.08,0.0"
"2026-04-01 08:15:00,MON-20260401,Level 1,Z2,Workspace,17,1,1,1,20,0,3.75,Off,Low,Not Started,Yes,27.88,,Routine Monitoring,Z2 (Workspace) under normal monitoring. Occupancy at 20 with no active emergency indicators.,9.75,105.91,22.03,561.73,45.34,0.01"
"2026-04-01 08:15:00,MON-20260401,Level 1,Z3,MeetingRoom,6,2,1,0,9,0,5.09,Off,Low,Not Started,Yes,19.49,,Routine Monitoring,Z3 (MeetingRoom) under normal monitoring. Occupancy at 9 with no active emergency indicators.,13.23,122.32,22.3,583.23,47.21,0.0"
"2026-04-01 08:15:00,MON-20260401,Level 1,Z4,Pantry,3,0,1,1,5,0,3.7,Off,Low,Not Started,Yes,14.76,,Routine Monitoring,Z4 (Pantry) under normal monitoring. Occupancy at 5 with no active emergency indicators.,9.61,98.35,23.28,553.6,46.51,0.0"
"2026-04-01 08:15:00,MON-20260401,Level 1,Z5,Corridor,8,1,1,1,11,0,3.69,Off,Low,Not Started,Yes,22.74,,Routine Monitoring,Z5 (Corridor) under normal monitoring. Occupancy at 11 with no active emergency indicators.,9.6,115.26,23.63,559.15,46.65,0.0"
"2026-04-01 08:15:00,MON-20260401,Level 1,Z6,ExitArea,4,0,0,0,4,0,3.2,Off,Low,Not Started,Yes,2.33,,Routine Monitoring,Z6 (ExitArea) under normal monitoring. Occupancy at 4 with no active emergency indicators.,8.32,101.77,23.0,574.16,49.1,0.1"
"2026-04-01 08:20:00,MON-20260401,Level 1,Z1,Reception,5,0,1,0,6,0,4.47,Off,Low,Not Started,Yes,9.36,,Routine Monitoring,Z1 (Reception) under normal monitoring. Occupancy at 6 with no active emergency indicators.,11.62,94.86,22.15,667.13,42.38,1.51"
"2026-04-01 08:20:00,MON-20260401,Level 1,Z2,Workspace,20,1,0,0,21,0,4.01,Off,Low,Not Started,Yes,16.72,,Routine Monitoring,Z2 (Workspace) under normal monitoring. Occupancy at 21 with no active emergency indicators.,10.42,112.77,22.55,543.58,46.21,0.37"
"2026-04-01 08:20:00,MON-20260401,Level 1,Z3,MeetingRoom,6,2,1,0,9,0,5.05,Off,Low,Not Started,Yes,19.49,,Routine Monitoring,Z3 (MeetingRoom) under normal monitoring. Occupancy at 9 with no active emergency indicators.,13.12,134.09,21.66,614.63,46.18,0.0"
"2026-04-01 08:20:00,MON-20260401,Level 1,Z4,Pantry,2,0,3,2,7,0,2.85,Off,Low,Not Started,Yes,33.11,,Routine Monitoring,Z4 (Pantry) under normal monitoring. Occupancy at 7 with no active emergency indicators.,7.42,110.97,22.31,613.84,48.57,0.13"
"2026-04-01 08:20:00,MON-20260401,Level 1,Z5,Corridor,5,2,1,1,9,0,3.79,Off,Low,Not Started,Yes,26.14,,Routine Monitoring,Z5 (Corridor) under normal monitoring. Occupancy at 9 with no active emergency indicators.,9.86,114.55,24.41,555.08,43.6,0.0"
"2026-04-01 08:20:00,MON-20260401,Level 1,Z6,ExitArea,0,0,0,0,0,0,3.36,Off,Low,Not Started,Yes,0.0,,Routine Monitoring,Z6 (ExitArea) under normal monitoring. Occupancy at 0 with no active emergency indicators.,8.73,118.25,23.15,619.54,49.46,1.5"
